;truth_id;detection_id;stamp_sec;frame_nb;occlusion_severity;undetected;truth_width;truth_height;det_width;det_height;truth_box;det_box
0;16;16;1628506172;0;0,14545454545454473;no;0,017187500000000022;0,02083333333333333;0,01770833320915699;0,02083333395421505;[0.05416666666666667, 0.075, 0.38958333333333334, 0.40677083333333336];[0.05416666666666667, 0.075, 0.38958333333333334, 0.40677083333333336]
1;19;19;1628506172;0;0,14545454545454473;no;0,019791666666666652;0,021666666666666667;0,01979166641831398;0,021666666492819786;[0.0625, 0.08416666666666667, 0.37395833333333334, 0.39375];[0.0625, 0.08416666666666667, 0.37395833333333334, 0.39375]
2;113;113;1628506172;0;0,23913043478260881;no;0,022395833333333337;0,03833333333333333;0,02239583246409893;0,03750000149011612;[0.065, 0.10333333333333333, 0.2421875, 0.26458333333333334];[0.065, 0.10333333333333333, 0.2421875, 0.26458333333333334]
3;120;119;1628506172;0;0,23913043478260881;no;0,03749999999999998;0,06416666666666666;0,03750000149011612;0,06416666507720947;[0.09416666666666666, 0.15833333333333333, 0.2421875, 0.2796875];[0.09416666666666666, 0.15833333333333333, 0.2421875, 0.2796875]
4;120;120;1628506172;0;0,1244588744588742;no;0,047395833333333304;0,08083333333333331;0,046875;0,05583333224058151;[0.14583333333333334, 0.22666666666666666, 0.2557291666666667, 0.303125];[0.14583333333333334, 0.22666666666666666, 0.2557291666666667, 0.303125]
5;120;119;1628506172;0;0,1244588744588742;no;0,03749999999999998;0,06416666666666666;0,03750000149011612;0,06416666507720947;[0.09416666666666666, 0.15833333333333333, 0.2421875, 0.2796875];[0.09416666666666666, 0.15833333333333333, 0.2421875, 0.2796875]
6;120;120;1628506172;0;0,4639175257731958;no;0,047395833333333304;0,08083333333333331;0,046875;0,05583333224058151;[0.14583333333333334, 0.22666666666666666, 0.2557291666666667, 0.303125];[0.14583333333333334, 0.22666666666666666, 0.2557291666666667, 0.303125]
7;99;99;1628506172;0;0,4639175257731958;no;0,10104166666666667;0,225;0,10104166716337204;0,22499999403953552;[0.18916666666666668, 0.4141666666666667, 0.24583333333333332, 0.346875];[0.18916666666666668, 0.4141666666666667, 0.24583333333333332, 0.346875]
8;46;46;1628506172;0;0,32432432432432434;no;0,038541666666666696;0,03666666666666667;0,03854166716337204;0,036666665226221085;[0.12083333333333333, 0.1575, 0.5161458333333333, 0.5546875];[0.12083333333333333, 0.1575, 0.5161458333333333, 0.5546875]
9;68;68;1628506172;0;0,32432432432432434;no;0,04010416666666666;0,03999999999999998;0,04010416567325592;0,03999999910593033;[0.1375, 0.1775, 0.49895833333333334, 0.5390625];[0.1375, 0.1775, 0.49895833333333334, 0.5390625]
