;truth_id;detection_id;stamp_sec;frame_nb;occlusion_severity;merged_or_truncated;truth_width;truth_height;det_width;det_height;truth_box;det_box
0;120;120;1628506172;0;0,1244588744588742;truncated;0,047395833333333304;0,08083333333333331;0,046875;0,05583333224058151;[0.14583333333333334, 0.22666666666666666, 0.2557291666666667, 0.303125];[0.14666666463017464, 0.20249999687075615, 0.2567708194255829, 0.3036458194255829, 0.0, 0.0]
1;120;120;1628506172;1;0,19480519480519468;truncated;0,048958333333333326;0,08333333333333331;0,04843749850988388;0,05833333358168602;[0.14, 0.22333333333333333, 0.25677083333333334, 0.30572916666666666];[0.1491666603833437, 0.20749999396502972, 0.2578124888241291, 0.306249987334013, 0.0, 0.0]
2;192;192;1628506176;21;0,6166666666666663;truncated;0,027604166666666652;0,05000000000000002;0,02812499925494194;0,01666666753590107;[0.1725, 0.2225, 0.259375, 0.2869791666666667];[0.18166666384786367, 0.19833333138376474, 0.25937500037252903, 0.28749999962747097, 0.0, 0.0]
3;192;192;1628506176;22;0,48333333333333317;truncated;0,027604166666666652;0,05000000000000002;0,03177083283662796;0,019166667014360428;[0.19833333333333333, 0.33416666666666667, 0.2484375, 0.31302083333333336];[0.1841666605323553, 0.20333332754671574, 0.25729167088866234, 0.2890625037252903, 0.0, 0.0]
4;192;192;1628506176;23;0,46666666666666673;truncated;0,027604166666666652;0,05000000000000002;0,03177083283662796;0,019166667014360428;[0.19916666666666666, 0.3375, 0.24895833333333334, 0.3125];[0.18583334051072598, 0.2050000075250864, 0.25729167088866234, 0.2890625037252903, 0.0, 0.0]
5;192;192;1628506176;24;0,36666666666666664;truncated;0,027604166666666652;0,05000000000000002;0,03333333507180214;0,02250000089406967;[0.20416666666666666, 0.3458333333333333, 0.24895833333333334, 0.315625];[0.18833333626389503, 0.2108333371579647, 0.25625000707805157, 0.2895833421498537, 0.0, 0.0]
6;192;192;1628506176;25;0,6166666666666667;truncated;0,027604166666666652;0,04999999999999999;0,03437500074505806;0,02250000089406967;[0.20833333333333334, 0.3516666666666667, 0.24895833333333334, 0.3171875];[0.19166666641831398, 0.21416666731238365, 0.2572916802018881, 0.29166668094694614, 0.0, 0.0]
7;192;192;1628506176;26;0,6625000000000002;truncated;0,03281249999999997;0,06666666666666668;0,03802083432674408;0,023333333432674408;[0.21166666666666667, 0.36, 0.24895833333333334, 0.3182291666666667];[0.1941666640341282, 0.2174999974668026, 0.2562500014901161, 0.2942708358168602, 0.0, 0.0]
8;192;192;1628506176;28;0,4571428571428573;truncated;0,027604166666666652;0,05833333333333332;0,0416666679084301;0,02666666731238365;[0.22083333333333333, 0.37833333333333335, 0.25, 0.3229166666666667];[0.20083333738148212, 0.22750000469386578, 0.2557291779667139, 0.297395845875144, 0.0, 0.0]
9;192;192;1628506176;29;0,5142857142857147;truncated;0,03802083333333334;0,05833333333333335;0,04218750074505806;0,030833333730697632;[0.22583333333333333, 0.38666666666666666, 0.25, 0.32395833333333335];[0.20250000059604645, 0.23333333432674408, 0.25624999962747097, 0.29843750037252903, 0.0, 0.0]
10;192;192;1628506176;30;0,4571428571428577;truncated;0,03802083333333334;0,05833333333333335;0,0442708320915699;0,03166666626930237;[0.22916666666666666, 0.3908333333333333, 0.25, 0.32447916666666665];[0.20333333313465118, 0.23499999940395355, 0.25625001452863216, 0.30052084662020206, 0.0, 0.0]
11;192;192;1628506176;31;0,41428571428571476;truncated;0,03802083333333334;0,05833333333333335;0,0442708320915699;0,034166667610406876;[0.23166666666666666, 0.3983333333333333, 0.25052083333333336, 0.32708333333333334];[0.20749999396502972, 0.2416666615754366, 0.25625001452863216, 0.30052084662020206, 0.0, 0.0]
