;truth_id;detection_id;stamp_sec;frame_nb;occlusion_severity;undetected;truth_width;truth_height;det_width;det_height;truth_box;det_box
0;0;0;1628506169;0;0,2717391304347816;no;0,028124999999999956;0,043333333333333335;0,028124999999999956;0,043333333333333335;[0.17666666666666667, 0.22, 0.5098958333333333, 0.5380208333333333];[0.17666666666666667, 0.22, 0.5098958333333333, 0.5380208333333333]
1;18;18;1628506169;0;0,2717391304347816;no;0,03020833333333328;0,03833333333333333;0,03020833333333328;0,03833333333333333;[0.19583333333333333, 0.23416666666666666, 0.525, 0.5552083333333333];[0.19583333333333333, 0.23416666666666666, 0.525, 0.5552083333333333]
2;3;3;1628506169;0;0,49999999999999983;no;0,078125;0,18666666666666665;0,078125;0,18666666666666665;[0.26, 0.44666666666666666, 0.28229166666666666, 0.36041666666666666];[0.26, 0.44666666666666666, 0.28229166666666666, 0.36041666666666666]
3;4;4;1628506169;0;0,49999999999999983;no;0,04791666666666666;0,07166666666666668;0,04791666666666666;0,07166666666666668;[0.22416666666666665, 0.29583333333333334, 0.28958333333333336, 0.3375];[0.22416666666666665, 0.29583333333333334, 0.28958333333333336, 0.3375]
4;3;3;1628506169;0;0,6750000000000002;no;0,078125;0,18666666666666665;0,078125;0,18666666666666665;[0.26, 0.44666666666666666, 0.28229166666666666, 0.36041666666666666];[0.26, 0.44666666666666666, 0.28229166666666666, 0.36041666666666666]
5;34;34;1628506169;0;0,6750000000000002;no;0,11875000000000002;0,23583333333333334;0,11875000000000002;0,24416666666666664;[0.30666666666666664, 0.5425, 0.29010416666666666, 0.4088541666666667];[0.30666666666666664, 0.5425, 0.29010416666666666, 0.4088541666666667]
6;11;11;1628506169;0;0,14744268077601425;no;0,0234375;0,05249999999999999;0,0234375;0,05249999999999999;[0.10083333333333333, 0.15333333333333332, 0.2203125, 0.24375];[0.10083333333333333, 0.15333333333333332, 0.2203125, 0.24375]
7;23;23;1628506169;0;0,14744268077601425;no;0,03437499999999999;0,07833333333333334;0,03437499999999999;0,07833333333333334;[0.12166666666666667, 0.2, 0.19166666666666668, 0.22604166666666667];[0.12166666666666667, 0.2, 0.19166666666666668, 0.22604166666666667]
8;12;12;1628506169;0;0,24489795918367255;no;0,029166666666666674;0,035;0,029166666666666674;0,035;[0.19083333333333333, 0.22583333333333333, 0.5609375, 0.5901041666666667];[0.19083333333333333, 0.22583333333333333, 0.5609375, 0.5901041666666667]
9;21;21;1628506169;0;0,24489795918367255;no;0,03541666666666665;0,05249999999999999;0,03541666666666665;0,05249999999999999;[0.15166666666666667, 0.20416666666666666, 0.5713541666666667, 0.6067708333333334];[0.15166666666666667, 0.20416666666666666, 0.5713541666666667, 0.6067708333333334]
10;13;13;1628506169;0;0,2483660130718952;no;0,034375000000000044;0,06416666666666665;0,034375000000000044;0,06416666666666665;[0.11083333333333334, 0.175, 0.5567708333333333, 0.5911458333333334];[0.11083333333333334, 0.175, 0.5567708333333333, 0.5911458333333334]
11;21;21;1628506169;0;0,2483660130718952;no;0,03541666666666665;0,05249999999999999;0,03541666666666665;0,05249999999999999;[0.15166666666666667, 0.20416666666666666, 0.5713541666666667, 0.6067708333333334];[0.15166666666666667, 0.20416666666666666, 0.5713541666666667, 0.6067708333333334]
12;17;17;1628506169;0;0,44459511817125164;no;0,07083333333333341;0,08583333333333334;0,07083333333333341;0,08583333333333334;[0.23666666666666666, 0.3225, 0.8484375, 0.9192708333333334];[0.23666666666666666, 0.3225, 0.8484375, 0.9192708333333334]
13;26;26;1628506169;0;0,44459511817125164;no;0,060416666666666674;0,07416666666666666;0,060416666666666674;0,07416666666666666;[0.2775, 0.3516666666666667, 0.8322916666666667, 0.8927083333333333];[0.2775, 0.3516666666666667, 0.8322916666666667, 0.8927083333333333]
